,qtd_filhos,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,sexo,posse_de_veiculo,posse_de_imovel
3057,1,59.5,,1,0,0,0,3.0,False,0,0,1
3058,0,30.8,6.5,1,0,0,0,2.0,False,1,1,1
3061,0,41.5,19.6,1,0,0,0,1.0,False,0,1,1
3066,0,43.6,2.6,1,0,0,0,2.0,False,0,0,1
3068,0,62.0,14.5,1,0,0,0,1.0,False,0,0,1
3069,1,22.0,3.9,1,0,1,1,3.0,False,0,0,1
3070,0,48.9,3.5,1,0,0,0,1.0,False,0,0,1
3071,0,39.9,6.2,1,0,0,0,2.0,False,0,0,1
3074,0,33.7,2.9,1,0,0,0,2.0,False,0,0,1
3075,0,43.4,3.9,1,0,0,0,1.0,False,0,0,0
3076,1,35.0,12.6,1,0,0,0,3.0,False,0,1,0
3078,0,60.3,4.2,1,1,1,0,1.0,False,0,0,1
3086,0,33.8,15.0,1,0,0,0,1.0,False,1,1,0
3088,0,50.4,5.9,1,0,0,0,2.0,False,0,0,0
3094,1,36.1,2.8,1,0,0,0,3.0,False,1,1,1
3096,0,56.7,,1,0,0,0,1.0,False,1,0,1
3098,0,54.7,15.6,1,0,0,0,2.0,False,0,1,1
3105,1,49.5,3.3,1,0,0,0,2.0,False,1,0,1
3106,1,29.9,2.1,1,0,0,0,3.0,False,1,0,1
3107,1,30.1,6.9,1,0,0,0,3.0,False,0,1,1
3108,1,30.1,6.9,1,0,0,0,3.0,True,0,1,1
3109,1,26.8,8.0,1,1,0,1,3.0,False,0,0,1
3115,0,51.2,20.6,1,0,0,0,2.0,False,1,1,1
3116,0,63.1,,1,0,0,0,1.0,False,0,0,0
3118,0,59.1,2.8,1,0,0,0,2.0,False,1,1,1
3119,1,28.9,2.8,1,0,0,0,3.0,False,1,0,1
3121,0,54.6,9.1,1,0,0,0,2.0,False,0,0,1
3122,0,58.5,33.6,1,0,1,0,2.0,False,1,1,0
3123,0,58.1,2.2,1,0,0,0,2.0,False,0,0,1
3133,0,50.0,6.5,1,0,0,0,1.0,False,0,1,1
3134,1,31.2,5.4,1,1,1,0,3.0,False,1,1,0
3138,0,53.1,9.2,1,0,0,0,2.0,False,0,0,1
3143,0,42.0,16.6,1,1,0,0,2.0,False,1,1,1
3144,0,38.8,5.0,1,1,0,0,1.0,False,0,0,0
3145,0,26.7,3.5,1,0,1,0,1.0,False,0,0,0
3146,0,29.5,6.0,1,0,1,0,2.0,False,1,1,0
3147,0,53.1,13.9,1,1,1,0,2.0,False,0,1,0
3148,1,28.1,9.6,1,1,1,0,2.0,False,0,0,0
3149,0,54.9,7.1,1,0,0,0,1.0,False,0,0,1
3150,1,41.7,0.6,1,1,1,0,3.0,False,1,1,1
3151,0,27.3,3.0,1,0,0,1,1.0,False,0,0,1
3153,2,42.4,7.9,1,0,1,0,4.0,False,1,1,0
3155,1,35.7,10.6,1,0,1,0,3.0,False,0,1,0
3157,0,29.7,1.8,1,0,0,0,2.0,False,0,1,0
3158,0,42.3,5.1,1,0,0,0,2.0,False,0,0,1
3160,0,52.5,15.1,1,1,1,0,2.0,False,0,0,0
3161,2,42.5,2.4,1,1,1,0,4.0,False,0,1,0
3163,0,36.7,11.9,1,0,1,0,2.0,False,0,0,0
3164,0,32.8,7.4,1,0,0,0,2.0,False,1,0,0
3165,0,57.7,12.2,1,1,1,0,2.0,False,1,1,0
3166,0,32.6,3.9,1,0,1,0,1.0,False,0,0,0
3167,0,37.0,6.0,1,0,1,0,2.0,False,0,0,0
3168,0,41.5,0.6,1,1,1,0,1.0,False,1,0,0
3170,1,39.1,6.2,1,1,0,0,3.0,False,0,0,0
3171,0,29.2,10.1,1,1,1,0,2.0,False,0,0,0
3172,3,39.9,4.0,1,1,0,0,5.0,False,0,0,1
3173,1,47.2,0.2,1,1,1,0,2.0,False,0,0,1
3174,0,48.2,5.5,1,0,0,0,2.0,False,1,0,1
3175,1,27.4,1.6,1,1,1,0,3.0,False,0,0,0
3176,0,56.7,11.2,1,1,1,0,2.0,False,1,0,0
3177,0,54.3,12.8,1,0,1,0,2.0,False,0,0,1
3178,3,34.4,16.1,1,0,1,0,5.0,False,0,1,1
3179,0,51.2,5.6,1,1,1,0,2.0,False,0,1,0
3180,0,45.0,2.2,1,0,0,0,2.0,False,1,1,0
3181,0,64.8,,1,0,0,0,2.0,False,1,1,0
3182,1,40.8,18.3,1,0,0,0,3.0,False,1,0,1
3183,0,51.6,,1,0,0,0,2.0,False,1,1,1
3184,2,29.8,0.7,1,0,0,0,4.0,False,1,1,0
3185,0,28.3,0.7,1,1,0,0,2.0,False,0,0,0
3186,3,36.3,4.8,1,0,0,0,5.0,False,0,1,0
3187,0,60.8,,1,0,0,0,2.0,False,0,0,1
3188,3,36.4,,1,0,0,0,4.0,False,0,0,0
3190,0,40.2,3.7,1,1,0,0,2.0,False,0,1,0
3191,0,28.1,7.1,1,0,1,0,1.0,False,1,1,0
3192,2,35.4,5.0,1,0,0,0,4.0,False,1,1,0
3193,0,46.6,26.0,1,0,1,0,2.0,False,1,0,0
3194,0,43.9,2.8,1,0,0,0,2.0,False,0,0,1
3195,0,55.2,3.6,1,0,0,0,2.0,False,1,1,0
3196,0,58.8,,1,0,0,0,2.0,False,0,0,1
3197,0,52.5,4.1,1,0,1,0,2.0,False,0,0,0
3198,0,44.6,4.0,1,1,1,0,2.0,False,0,1,0
3199,1,39.5,1.3,1,0,0,0,3.0,False,0,1,1
3200,1,39.0,0.4,1,1,1,0,3.0,False,0,1,1
3201,2,31.2,10.4,1,0,0,0,4.0,False,0,0,1
3202,1,41.4,2.7,1,1,0,0,3.0,False,0,0,0
3203,0,48.5,12.2,1,0,0,0,2.0,False,0,0,1
3204,1,38.0,2.7,1,0,0,0,3.0,False,0,1,1
3205,1,43.0,5.0,1,0,0,0,3.0,False,0,0,1
3206,0,43.6,19.6,1,1,0,0,2.0,False,0,0,1
3207,0,31.9,5.9,1,0,0,0,2.0,False,1,1,0
3208,0,46.2,8.6,1,0,0,0,2.0,False,0,1,1
3209,0,56.5,,1,0,0,0,2.0,False,0,0,1
3210,0,50.3,9.9,1,0,0,0,2.0,False,0,0,1
3211,0,52.0,0.5,1,0,0,0,2.0,False,0,0,0
3212,0,51.1,19.2,1,0,0,0,2.0,False,0,0,1
3213,0,59.6,2.2,1,0,1,0,2.0,False,1,1,1
3214,0,65.3,,1,0,1,0,2.0,False,0,1,1
3215,0,51.1,5.0,1,1,0,0,2.0,False,1,1,1
3216,0,31.8,2.7,1,1,0,0,1.0,False,1,0,0
3217,1,34.3,2.5,1,0,0,0,3.0,False,0,0,0
3218,2,33.0,3.6,1,1,1,0,4.0,False,1,1,1
3219,0,59.6,,1,0,1,0,1.0,False,0,0,1
3220,0,39.9,14.9,1,0,1,0,1.0,False,0,0,1
3221,1,32.9,8.1,1,0,0,0,3.0,False,0,1,1
3222,1,27.1,9.2,1,0,1,0,3.0,False,1,1,1
3224,0,47.7,4.2,1,0,0,0,2.0,False,0,0,0
3225,2,37.6,1.6,1,0,0,0,4.0,False,1,1,1
3226,0,26.7,1.7,1,1,1,0,2.0,False,0,0,1
3227,0,38.7,0.8,1,0,0,0,2.0,False,0,0,0
3228,0,51.6,0.7,1,0,1,0,2.0,False,1,1,1
3229,0,57.2,,1,0,0,0,2.0,False,0,1,1
3231,1,43.6,5.6,1,1,1,0,3.0,False,0,0,1
3232,1,41.2,4.7,1,0,0,0,3.0,False,1,1,1
3233,2,35.2,1.1,1,0,0,0,4.0,False,0,0,1
3235,1,25.3,0.6,1,0,0,0,2.0,False,0,0,0
3236,0,29.5,1.1,1,0,0,0,2.0,False,0,0,1
3237,0,52.7,3.6,1,0,0,0,2.0,False,1,1,1
3238,0,52.3,,1,0,0,0,1.0,False,0,0,1
3239,0,44.6,19.6,1,0,0,0,2.0,False,0,1,1
3240,0,68.0,,1,0,0,0,2.0,False,0,0,1
3241,0,50.5,4.2,1,1,1,0,2.0,False,1,1,0
3242,0,52.7,4.0,1,0,0,0,1.0,False,0,1,1
3243,0,51.9,9.7,1,0,0,0,2.0,False,0,1,1
3244,0,35.7,1.1,1,1,1,0,2.0,False,1,1,1
3245,0,63.8,,1,0,0,0,2.0,False,1,0,1
3246,0,45.7,6.2,1,0,0,0,2.0,False,0,0,1
3247,1,37.8,8.3,1,1,1,0,3.0,False,1,0,1
3249,0,35.0,6.3,1,0,0,0,2.0,False,0,0,1
3250,0,66.3,,1,0,1,0,2.0,False,0,0,1
3251,1,35.6,0.6,1,0,0,0,2.0,False,1,0,1
3252,1,31.7,3.5,1,0,0,0,3.0,False,1,1,0
3253,1,45.0,5.7,1,0,1,0,3.0,False,1,1,1
3254,1,37.4,5.7,1,1,1,0,3.0,False,0,1,1
3255,0,32.9,14.9,1,1,1,0,2.0,False,1,1,1
3256,1,34.5,16.6,1,0,0,0,3.0,False,0,1,1
3258,1,43.8,6.1,1,0,0,0,3.0,False,1,1,1
3259,0,58.2,14.3,1,0,1,0,2.0,False,0,1,1
3260,1,42.9,0.7,1,0,0,0,2.0,False,1,1,1
3261,0,64.8,,1,0,0,0,2.0,False,1,0,1
3262,2,31.9,4.5,1,1,0,0,4.0,False,0,0,1
3263,0,51.2,12.6,1,0,0,0,2.0,False,0,0,1
3265,0,53.3,2.6,1,0,0,0,2.0,False,1,1,1
3266,1,37.1,6.0,1,0,1,0,3.0,False,0,0,1
3267,0,43.5,13.3,1,0,0,0,2.0,False,0,1,0
3268,2,36.0,10.2,1,0,1,0,4.0,False,0,0,1
3269,0,55.6,9.0,1,0,0,0,2.0,False,1,0,1
3270,0,58.5,,1,0,0,0,1.0,False,0,0,1
3273,0,58.5,,1,0,0,0,1.0,True,0,0,1
3274,0,58.4,,1,0,0,0,2.0,False,0,0,1
3275,0,50.9,6.1,1,0,0,1,2.0,False,0,0,1
3276,0,61.2,,1,0,1,0,2.0,False,0,0,1
3277,1,43.1,13.1,1,1,1,0,2.0,False,0,0,1
3278,0,27.9,8.2,1,0,0,0,2.0,False,0,0,1
3279,0,46.9,6.2,1,0,0,0,2.0,False,0,1,1
3283,0,45.1,8.9,1,0,0,0,2.0,False,0,0,1
3284,0,53.4,15.3,1,0,0,0,2.0,False,1,0,1
3285,0,44.6,6.7,1,0,0,0,1.0,False,0,0,0
3286,0,31.5,7.0,1,0,1,1,2.0,False,0,0,1
3287,3,31.9,4.0,1,1,0,0,5.0,False,0,0,1
3288,1,40.5,8.9,1,1,1,0,3.0,False,0,0,1
3291,1,43.9,7.3,1,0,1,0,3.0,False,0,1,0
3292,0,65.0,,1,0,0,0,1.0,False,0,1,1
3293,2,37.8,6.0,1,0,1,0,4.0,True,0,1,1
3294,2,39.1,5.2,1,0,0,0,4.0,False,0,1,1
3297,0,52.9,1.8,1,1,1,0,2.0,False,1,1,1
3300,0,60.9,,1,0,1,0,2.0,False,1,0,1
3304,1,34.4,1.2,1,1,0,1,3.0,False,1,1,1
3312,0,54.4,,1,0,0,0,1.0,False,0,0,1
3314,2,39.7,13.7,1,0,0,0,4.0,False,0,0,0
3315,0,48.9,0.3,1,0,0,0,2.0,False,0,0,1
3316,0,56.1,32.0,1,1,1,0,2.0,False,0,0,1
3317,0,37.9,0.9,1,0,0,0,2.0,False,0,0,0
3318,1,35.4,0.7,1,0,1,0,3.0,False,1,1,0
3320,0,47.4,,1,0,1,0,1.0,False,0,1,1
3321,2,34.9,4.7,1,0,1,0,4.0,False,1,1,1
3322,2,34.3,9.2,1,0,1,0,4.0,False,1,1,1
3323,0,40.5,5.5,1,0,0,0,2.0,False,0,0,0
3328,0,38.2,2.6,1,0,1,0,2.0,False,1,0,0
3329,0,32.9,5.2,1,0,1,0,1.0,False,0,0,1
3332,1,36.3,1.7,1,0,0,0,3.0,False,1,1,1
3334,0,27.9,6.4,1,0,1,0,2.0,False,0,0,0
3346,0,54.3,1.1,1,1,0,0,2.0,False,0,0,1
3349,2,30.9,4.6,1,0,0,0,4.0,False,0,0,0
3354,0,51.9,10.3,1,1,0,0,2.0,False,1,0,1
3355,0,28.3,1.4,1,1,1,0,2.0,False,1,0,1
3360,0,59.6,7.4,1,0,0,0,2.0,False,1,1,1
3368,0,58.6,,1,0,1,0,1.0,False,0,0,1
3372,0,61.9,,1,0,0,0,2.0,False,1,0,1
3374,0,50.3,,1,0,0,0,2.0,False,1,1,1
3375,1,31.8,6.7,1,0,0,0,3.0,False,1,1,1
3377,1,34.5,2.1,1,1,1,0,3.0,False,0,0,1
3378,0,27.7,4.3,1,1,1,0,2.0,False,1,1,1
3379,0,48.9,0.6,1,0,1,0,2.0,False,1,1,1
3380,1,36.4,3.4,1,1,0,0,2.0,False,1,0,1
3381,1,39.4,8.5,1,1,1,0,3.0,False,0,1,1
3382,0,30.7,2.3,1,0,0,0,1.0,False,0,0,0
3383,0,61.8,,1,0,0,0,2.0,False,0,0,1
3392,0,40.8,21.2,1,0,0,0,2.0,False,1,1,0
3394,0,47.5,3.7,1,0,0,0,2.0,False,1,0,0
3395,2,28.1,8.3,1,1,0,0,4.0,False,1,1,1
3396,0,61.1,,1,0,1,0,1.0,False,0,0,1
3397,0,41.6,4.1,1,0,0,0,1.0,False,0,0,1
3398,0,51.4,3.2,1,0,0,0,2.0,False,1,1,1
3399,0,49.9,4.1,1,0,1,1,2.0,False,0,0,1
3400,1,37.0,3.2,1,0,0,0,3.0,False,0,0,0
3401,0,42.2,8.2,1,0,0,0,2.0,False,0,1,0
3402,2,37.3,2.0,1,1,0,0,4.0,False,0,0,1
3403,0,41.4,8.6,1,0,0,0,2.0,False,0,0,1
3404,0,49.9,6.0,1,0,0,0,2.0,False,0,0,1
3405,1,30.6,12.1,1,0,0,0,3.0,False,1,1,1
3406,0,30.6,0.9,1,0,0,0,1.0,False,0,0,1
3407,0,62.8,,1,0,0,0,2.0,False,1,0,1
3408,0,28.4,2.6,1,0,0,0,2.0,False,1,0,1
3409,0,53.6,14.8,1,1,1,0,2.0,False,0,1,1
3410,0,62.3,,1,0,0,0,1.0,False,0,0,1
3412,1,47.5,13.3,1,0,0,0,2.0,False,0,0,0
3413,1,43.9,2.8,1,1,1,0,3.0,False,0,0,1
3414,5,42.3,1.2,1,0,1,0,6.0,False,0,0,1
3415,0,58.6,18.0,1,0,0,0,1.0,False,0,0,0
3416,1,45.5,0.5,1,0,0,0,3.0,False,0,0,1
3417,0,34.3,2.3,1,1,1,0,2.0,False,0,1,1
3418,0,57.8,13.2,1,0,0,0,2.0,False,0,0,1
3426,0,38.7,2.9,1,0,0,0,1.0,False,1,1,1
3429,0,47.3,23.2,1,0,0,0,1.0,False,0,1,1
3434,0,57.6,,1,0,0,0,2.0,False,0,0,1
3436,0,46.1,9.8,1,0,0,0,2.0,False,0,0,1
3438,1,36.5,13.4,1,0,0,0,3.0,False,1,1,1
3440,0,49.4,5.8,1,0,0,0,2.0,False,0,0,1
3442,0,54.9,2.7,1,0,1,0,1.0,False,0,1,0
3443,1,52.8,17.0,1,0,1,0,2.0,False,0,0,0
3447,2,33.5,12.8,1,0,0,0,4.0,False,1,1,0
3450,1,56.0,,1,0,1,0,3.0,False,0,0,1
3455,0,66.8,,1,0,0,0,1.0,False,0,0,1
3461,0,44.1,11.3,1,0,0,0,2.0,False,1,1,0
3463,0,57.3,,1,0,1,0,2.0,False,0,0,1
3465,0,46.0,15.8,1,0,0,0,2.0,False,0,0,1
3469,1,27.9,2.3,1,1,1,0,3.0,False,0,0,0
3471,0,53.6,7.6,1,0,0,0,2.0,False,0,0,1
3472,0,64.8,,1,0,1,0,2.0,False,1,0,1
3473,0,49.6,18.5,1,0,0,0,2.0,False,1,1,1
3476,0,48.9,5.9,1,0,0,0,2.0,False,0,0,1
3477,0,60.2,,1,0,0,0,2.0,False,0,0,1
3478,0,45.1,4.0,1,1,0,0,2.0,False,0,1,1
3479,0,43.4,7.4,1,1,0,0,1.0,False,0,0,1
3480,0,45.2,22.9,1,0,0,0,2.0,False,0,1,1
3482,0,54.3,7.3,1,0,0,0,2.0,False,0,0,1
3483,0,58.5,,1,0,0,0,2.0,False,0,0,1
3486,0,59.2,8.3,1,0,0,0,1.0,False,1,1,1
3487,0,47.0,22.1,1,1,1,0,1.0,False,0,1,1
3491,0,48.5,3.4,1,0,0,0,2.0,False,0,0,1
3492,0,54.5,15.2,1,0,0,0,1.0,False,0,0,0
3493,0,60.7,24.8,1,0,1,0,2.0,False,0,0,1
3495,0,60.2,,1,0,0,0,1.0,False,0,1,1
3497,0,48.8,2.4,1,0,0,0,2.0,False,0,0,1
3498,0,55.6,9.4,1,0,0,0,1.0,False,1,1,1
3505,0,48.3,,1,0,0,0,2.0,False,0,1,1
3506,1,50.4,20.3,1,0,0,0,2.0,False,0,0,1
3510,0,58.0,,1,0,0,0,1.0,False,1,0,1
3511,0,58.0,6.5,1,0,0,0,1.0,False,0,0,1
3513,0,48.4,3.4,1,0,0,0,2.0,False,0,0,1
3515,0,48.7,8.1,1,0,1,0,2.0,False,0,0,0
3517,1,53.6,20.3,1,0,1,0,3.0,False,0,0,1
3519,1,42.3,1.9,1,0,0,0,3.0,False,0,1,1
3523,0,66.7,14.2,1,0,0,0,2.0,False,1,1,0
3524,0,29.3,3.3,1,0,0,0,1.0,False,0,1,1
3530,2,42.4,1.7,1,0,0,0,4.0,False,0,0,1
3533,2,35.8,14.8,1,1,0,0,4.0,False,0,0,1
3534,0,52.0,6.4,1,0,0,0,2.0,False,0,0,1
3538,1,29.3,7.0,1,0,1,0,3.0,False,1,1,1
3542,0,55.9,7.7,1,0,1,0,2.0,False,1,0,1
3544,0,29.6,8.4,1,0,0,0,2.0,False,0,0,1
3548,2,29.5,2.8,1,1,1,0,4.0,False,0,0,1
3552,0,59.4,8.8,1,1,0,0,2.0,False,0,0,1
3555,2,34.4,7.5,1,1,0,0,4.0,False,0,1,1
3559,1,36.3,11.6,1,0,0,0,3.0,False,1,0,1
3565,0,49.9,6.8,1,1,0,0,2.0,False,1,1,1
3566,0,65.6,,1,0,1,0,1.0,False,0,0,1
3567,0,50.2,3.9,1,0,0,0,2.0,False,1,0,1
3568,0,54.4,12.2,1,0,0,0,2.0,False,0,0,1
3574,1,56.6,,1,0,1,0,3.0,False,0,1,1
3581,0,42.7,2.4,1,0,0,0,2.0,False,0,0,1
3585,0,56.1,,1,0,0,0,2.0,False,1,0,1
3586,2,42.1,0.9,1,0,0,0,4.0,False,0,0,1
3592,0,35.2,1.3,1,1,1,0,2.0,False,0,0,1
3594,0,57.6,,1,0,0,0,2.0,False,0,1,1
3597,0,49.3,15.6,1,0,1,0,1.0,False,0,0,1
3600,0,29.4,4.1,1,0,0,0,1.0,False,1,1,1
3601,0,59.3,,1,0,0,0,2.0,False,0,0,1
3602,0,49.3,1.5,1,0,0,0,1.0,False,0,0,1
3610,0,54.6,,1,0,0,0,2.0,False,0,1,1
3615,0,46.5,10.8,1,0,0,0,2.0,False,0,0,1
3616,0,39.7,5.4,1,0,0,0,1.0,False,0,0,1
3618,0,67.1,,1,0,0,0,2.0,False,1,1,1
3619,0,37.5,3.4,1,0,0,0,2.0,False,0,1,1
3621,0,34.2,4.4,1,0,1,0,2.0,False,0,0,1
3624,0,31.6,4.1,1,0,0,0,2.0,False,0,0,1
3625,0,62.2,,1,0,1,0,2.0,False,1,1,1
3626,0,51.9,29.2,1,0,0,0,2.0,False,0,1,0
3627,2,31.4,4.6,1,0,0,0,4.0,False,1,1,1
3628,0,27.1,5.7,1,1,1,0,2.0,False,0,1,0
3630,1,40.0,2.2,1,1,0,0,3.0,False,0,1,0
3632,0,68.3,,1,0,0,0,1.0,False,0,0,0
3634,2,43.1,7.3,1,0,0,0,4.0,False,1,1,0
3635,0,30.7,1.5,1,1,0,0,1.0,False,0,0,1
3636,0,54.4,23.7,1,1,1,0,2.0,False,1,0,0
3637,1,33.6,9.2,1,0,0,0,3.0,False,1,1,0
3638,1,43.8,3.5,1,1,0,0,3.0,False,1,0,0
3639,1,30.4,3.5,1,0,1,0,2.0,False,0,1,0
3640,0,41.3,1.0,1,0,0,0,2.0,False,0,1,0
3641,0,56.1,24.9,1,1,0,0,1.0,False,0,1,0
3642,1,47.1,4.4,1,1,0,0,3.0,False,1,1,0
3643,0,56.5,,1,0,0,0,1.0,False,0,0,0
3644,0,28.4,4.0,1,1,0,0,2.0,False,1,0,0
3645,2,37.4,11.5,1,0,1,0,4.0,False,1,0,0
3646,3,38.1,0.9,1,1,0,1,5.0,False,1,1,0
3647,0,25.2,0.3,1,1,0,0,2.0,False,0,1,0
3648,0,66.5,,1,0,0,0,2.0,False,0,0,0
3649,1,33.4,11.5,1,1,1,0,3.0,False,0,0,0
3650,2,39.4,17.5,1,0,0,0,4.0,False,1,1,0
3651,0,35.2,2.6,1,0,0,0,2.0,False,1,1,0
3652,0,48.2,27.2,1,0,0,0,1.0,False,1,1,0
3653,0,61.6,,1,0,0,0,2.0,False,0,0,0
3654,2,41.0,2.6,1,0,0,0,4.0,False,1,1,0
3655,0,30.0,1.4,1,1,0,0,1.0,False,0,0,0
3656,0,52.0,,1,0,0,0,2.0,False,0,0,0
3657,1,32.8,14.0,1,1,0,0,3.0,False,0,0,0
3658,0,46.2,19.2,1,0,1,0,2.0,False,0,0,0
3659,0,47.6,9.6,1,1,1,0,2.0,False,1,1,0
3660,0,28.7,4.5,1,0,0,0,2.0,False,1,1,0
3661,0,35.7,4.3,1,1,0,0,2.0,False,1,1,0
3662,0,44.0,6.1,1,0,0,0,2.0,False,0,1,1
3663,1,43.6,8.5,1,0,1,0,3.0,False,1,0,1
3664,0,66.6,,1,0,1,0,2.0,False,0,0,1
3666,2,33.7,1.0,1,0,0,0,4.0,False,1,1,1
3667,1,43.3,22.5,1,0,1,1,2.0,False,0,0,1
3668,0,51.9,25.3,1,0,0,0,2.0,False,0,0,1
3669,1,29.7,3.7,1,0,0,0,3.0,False,0,0,0
3670,0,53.6,,1,0,1,0,2.0,False,0,0,1
3671,1,36.6,1.8,1,0,0,0,3.0,False,0,0,0
3672,2,41.3,8.1,1,0,1,0,4.0,False,1,1,0
3673,0,45.3,10.5,1,0,0,0,2.0,False,0,0,1
3674,0,52.7,28.2,1,0,0,0,2.0,False,0,1,0
3675,0,32.6,1.6,1,1,1,0,2.0,False,1,0,1
3677,0,47.8,21.1,1,0,0,1,2.0,False,0,1,1
3678,1,37.2,2.0,1,0,0,0,3.0,False,1,1,1
3679,1,41.1,0.9,1,1,1,0,3.0,True,1,0,0
3680,1,41.1,0.9,1,1,1,0,3.0,False,1,0,0
3681,1,41.4,15.8,1,0,0,0,3.0,False,1,1,1
3682,1,38.0,2.6,1,0,0,0,2.0,False,0,0,1
3683,0,47.9,6.7,1,0,0,0,2.0,False,0,0,1
3684,0,49.3,8.7,1,1,1,0,1.0,False,0,0,1
3685,0,43.1,18.2,1,0,1,0,2.0,False,0,0,1
3688,0,28.3,6.0,1,0,0,0,2.0,False,0,1,0
3689,0,34.5,6.6,1,0,0,0,2.0,False,1,1,0
3690,0,31.0,10.3,1,0,0,0,2.0,False,0,0,0
3691,0,58.5,,1,0,0,0,2.0,False,1,0,1
3692,0,55.0,14.6,1,1,1,0,2.0,False,0,0,1
3693,1,29.3,7.7,1,0,0,0,3.0,False,0,1,1
3694,0,49.2,4.9,1,0,0,0,2.0,False,0,0,1
3696,0,49.9,18.3,1,0,0,0,2.0,False,1,1,1
3697,1,30.4,8.2,1,0,0,0,3.0,False,1,0,1
3698,0,50.5,30.6,1,0,1,0,1.0,False,0,0,1
3699,0,27.2,0.7,1,0,0,0,1.0,False,0,0,0
3700,0,56.5,0.6,1,0,0,0,2.0,False,1,0,1
3701,0,46.4,4.6,1,0,0,0,2.0,False,1,1,1
3703,0,27.4,5.3,1,0,0,0,2.0,False,1,1,0
3709,0,64.7,,1,0,0,0,2.0,False,0,0,1
3714,1,51.5,,1,0,1,0,3.0,False,0,0,1
3719,0,41.5,19.7,1,0,0,0,2.0,False,0,0,1
3720,0,67.2,,1,0,0,0,2.0,False,0,0,1
3721,2,36.1,13.6,1,0,0,0,4.0,False,0,1,1
3722,0,57.2,,1,0,0,0,1.0,False,0,0,1
3723,2,41.9,3.9,1,0,0,0,4.0,False,1,1,1
3724,0,54.3,8.5,1,0,0,0,2.0,False,0,0,1
3725,0,51.4,8.6,1,0,1,0,2.0,False,0,0,1
3728,1,41.5,3.2,1,0,0,0,3.0,False,0,1,0
3730,0,55.6,2.7,1,0,0,0,2.0,False,0,1,0
3731,0,41.8,6.1,1,1,1,0,2.0,False,0,0,1
3736,2,39.7,3.9,1,0,0,0,4.0,False,0,0,1
3738,0,57.5,,1,0,0,0,2.0,False,0,0,1
3739,0,40.6,6.7,1,1,1,0,2.0,False,0,1,1
3740,0,39.0,8.5,1,0,0,0,2.0,False,1,1,1
3741,2,38.7,3.7,1,0,0,0,4.0,False,1,1,1
3742,0,43.2,0.6,1,0,1,0,2.0,False,1,0,1
3743,0,39.0,14.2,1,0,0,0,2.0,False,0,0,0
3745,0,46.5,0.9,1,0,0,0,1.0,False,0,0,1
3746,0,64.5,,1,0,0,0,2.0,False,0,0,1
3748,1,45.9,6.6,1,0,0,0,3.0,False,1,1,0
3749,0,38.7,3.3,1,0,0,1,1.0,False,1,0,0
3750,2,48.9,5.6,1,0,0,0,4.0,False,1,1,1
3751,0,54.9,27.9,1,0,0,0,2.0,False,1,1,0
3752,0,54.2,8.7,1,0,1,0,1.0,False,0,0,1
3753,0,44.4,5.6,1,0,0,0,2.0,False,0,0,1
3754,0,63.4,,1,0,1,0,2.0,False,0,0,1
3755,0,52.6,11.8,1,0,0,0,2.0,False,0,0,1
3756,0,49.5,8.6,1,0,0,0,2.0,False,0,1,1
3763,0,45.4,5.6,1,0,0,0,2.0,False,0,0,1
3769,0,51.4,8.2,1,0,0,0,2.0,False,0,1,1
3770,0,38.8,10.8,1,0,0,0,1.0,False,0,0,1
3771,2,40.4,1.4,1,0,0,1,4.0,False,1,1,1
3772,0,62.4,,1,0,0,0,2.0,False,0,0,1
3773,0,59.6,,1,0,1,0,2.0,False,0,0,1
3774,1,48.2,3.6,1,0,1,0,3.0,False,0,0,1
3780,0,44.1,20.2,1,1,0,0,2.0,False,0,0,1
3784,0,44.1,12.2,1,0,0,0,2.0,False,0,1,1
3785,0,50.7,22.4,1,0,0,0,2.0,False,0,0,1
3788,2,36.6,5.1,1,0,0,0,4.0,False,0,0,1
3789,0,54.3,1.5,1,0,0,0,2.0,False,1,0,1
3790,0,40.0,19.4,1,1,0,0,2.0,False,0,1,1
3792,1,36.1,10.5,1,0,0,0,2.0,False,0,0,0
3793,1,52.6,13.8,1,0,0,0,2.0,False,0,0,1
3794,0,59.8,,1,0,0,0,2.0,False,0,0,1
3795,0,65.2,,1,0,0,0,2.0,False,0,0,0
3796,0,55.6,,1,0,1,0,2.0,False,0,0,0
3797,0,44.9,2.4,1,1,0,0,1.0,False,0,0,1
3798,0,61.6,,1,0,0,0,2.0,False,0,1,1
3801,3,37.5,9.8,1,1,1,0,5.0,False,1,0,1
3803,0,51.6,19.3,1,0,0,0,2.0,False,0,0,0
3805,0,54.0,,1,0,0,0,2.0,False,0,0,1
3807,0,52.8,24.3,1,0,0,0,2.0,False,0,0,1
3808,0,25.5,1.7,1,0,0,0,2.0,False,0,0,1
3813,0,51.8,0.6,1,0,1,0,2.0,False,0,0,1
3815,0,28.9,6.6,1,0,0,0,1.0,False,0,0,0
3817,0,63.7,23.9,1,1,1,0,2.0,False,0,0,1
3820,0,27.6,5.5,1,0,0,0,2.0,False,0,1,0
3821,0,32.6,8.2,1,1,1,1,2.0,False,0,1,1
3823,0,57.5,,1,0,1,0,1.0,False,0,0,1
3831,1,32.1,2.8,1,1,1,0,3.0,False,1,1,1
